	14C	22C	38C	46C	6C	10C	26C	2C	34C	42C	13C	21C	29C	37C	45C	5C	17C	1C	25C	33C	41C	9C	15C	23C	39C	47C	7C	11C	19C	27C	35C	3C	43C	16C	24C	40C	48C	8C	12C	20C	28C	36C	44C	4C
ENSMFAG00000000025	185.6624	446.446	293.948	191.735	231.701	112.432	131.696	150.166	152.891	262.368	258.055	171.956	210.666	178.309	205.603	131.729	155.981	153.095	232.0152	191.645	268.849	393.572	234.758	153.063	114.073	255.041	56.3471	220.942	88.443	142.45	93.6797	507.342	94.4847	107.705	271.376	134.116	135.59	94.9506	104.324	55.0436	140.42	207.759	78.4334	129.012
ENSMFAG00000000026	194.723	478.823	415.412	182.766	328.2	210.984	189.603	554.678	440.345	134.765	12.5859	0	0	0	22.4188	16.4505	19.9758	0	0	1.00813	46.7527	11	0	0	0	0	0	0	0	0	0	0	0	0	2.33945	5.42888	2	0	0	0	0	8.27304	6	0
ENSMFAG00000000027	5	5	3	0	4	0	2	4	2	1	16	2	6	1	0	1	3	12	8	4	7	8	19	3	1	6	2	13	4	2	1	0	0	3	13	6	4	0	3	1	0	7	2	8.72686
ENSMFAG00000000028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000029	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000030	33.2308	148.025	81.9286	56.3271	123.354	108.952	41.3529	172.15	111.14	42.8571	31.3875	37.4952	5.78571	34.3636	30.6429	29.8378	56.3158	63.8641	38.7209	34.8372	27.7895	99.8516	5.625	2.25	2	4	0.5	2.25	5.5	0	7.5	0	3.25	811.063	1114.21	558.393	408.172	1135.93	621.617	492.843	232.853	1080.85	388.509	855.053
ENSMFAG00000000031	0	0	0	0	0	1.01923	1.0152	0	0	2.02624	0	0	0	0	0	1.00972	0	0	0	2.0201	0	0	0	0	0	1.0096	0	1.01139	0	0	0	3.04758	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000033	475.001	738.63	1381.09	384.034	1023.69	420.76	625.892	910.211	1085.44	703.251	773.89	869.951	550.577	497.354	852.842	557.325	900.988	1516.26	775.568	472.384	741.329	554.048	549.971	777.437	411.021	481.997	81.9939	674.809	212.828	304.43	249.188	407.069	302.527	1072.21	968.1	2030.92	1838.31	264.111	390.612	598.308	748.199	3218.5	1790.45	684.404
ENSMFAG00000000034	10	25	89	29	58	0	0	50	0	3	0	17	13	0	0	0	6	0	55	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	20	22	0	112	0	14	46	23	37
ENSMFAG00000000035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	152	10	94	6	336	124	13	0	167	32	65
ENSMFAG00000000036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000037	11468.96813	17589.03457	19850.98892	13397.95928	15957.03724	13845	7654.99935	22800.02123	20215.9645	14243.01737	3878.99859	5253.00311	5107.00487	5036.99983	5475	4297	5891.00465	8933	4823	7853.9974	6116.9954	5851.00089	8099	16249.9762	16054.0096	15060.9672	8392.99647	14163.99051	19200.9843	15867.96817	22536.97221	45961.0409	27023.9862	8818.9955	11144.96397	10924.96111	13719.04501	8065.99849	16245.9523	13592.01182	17518.96463	40793.0004	20417.0052	17507.97091
ENSMFAG00000000038	1228	1467	3053.997	1068	1880.003	1019	889	3679	2653.997	2334.998	583	594	575	606	693	684	733	639	541	1083.9996	688	1001.0002	702	1533	1311	1459.996	565	15.999980652391	709	776	1235.9998	8449.99621	1393.99945	689	1058	1526.99961	1392.997	671.0000134406	258.0001	697	106	2618.005	898	269.9997
ENSMFAG00000000039	1639	2498	4671	2465	4626	1827	4014	2264	1881	1372	24774	44719	28136	42581	44524	35399	36141	35121	24103	30972	30507	28196	11491	42872	18105	13253	7307	2772	13428	3129	12173	7688	3526	78718	65162	52703	55030	72250	68273	31430	61964	77622	28124	37255
ENSMFAG00000000040	5	607	558	98.99997	7	0	179	101	315	72	0	0	1	13.99996	186	231	0	0	116.000068	1	2	0	3	0	0	48.00002	0	0	0	0	4	0	0	174	216	30	74	24	182	0	2	156	43.999946	90
ENSMFAG00000000041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000042	3013.076	5779.126	2984.8741	2268.713	2764.7221	2165.9	2723.161	3139.502	2219.68	2823.017	3101.899	4012.598	3305.147	2755.532	3030.801	3250.172	3990.473	2577.696	3249.312	2462.913	2850.91	1921.906	959.213	3135.174	1592.079	1149.7485	1438.975	2953.562	1069.2171	1603.82	2161.788	0	2411.908	2858.613	1939.825	3426.708	3809.627	2363.65	2546.818	1903.809	3897.187	6512.86	3664.701	3330.755
ENSMFAG00000000043	198.9998	489.0002876	396	115	792	136.0001	161.9999	203.00009	504.0005	589.99991	252.0001	41.99997	383.9998	120	154	452.99951044948	341	0	895.0003337193	433.000506052	301.999512	452.0001	179	350	521.99992	369.000300027833	280.9998	11	392.9997	500.99990025934	479.9997	0	753	35.00004	0	516.0001	40.99995	0	240.9996373	188	1	698.0001	280	48.99997
ENSMFAG00000000044	2465	3644	3644.99645	1329	2713.84	3545	3823.00271	4705.001	3331.68	2470	1913.69574	1749.82	1604.00416	3055.84828	1597.85042	1685.00109	2262	1394	2140.86	1751	1802	3170	292	1584.86	995.863	864.772	298	1028.00357	1213	1109.27	1549.68	0	977	3170	2613	4719.14	4296.72	3827	3823.69724	2164.78	4087.61	8002.61	3149.00164	3148
